dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 120, 'n_jobs': -1}",6.069289981648654,5.897156028852954,744.8775527477264
Breast Cancer Wisconsin (Diagnostic).csv,"{'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'n_jobs': -1}",6.808444119084268,6.844860680463355,552.7944536209106
Contraceptive Method Choice.csv,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 110, 'n_jobs': -1}",5.491836114699709,5.795108423185774,464.0626244544983
dados_preprocessados.csv,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'n_jobs': -1}",21.163130720571566,21.00636310496141,819.3389530181885
Diabetic Retinopathy Debrecen.csv,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 140, 'n_jobs': -1}",4.92155815980527,5.042833927609134,796.7169601917267
EEG Eye State.csv,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 190, 'n_jobs': -1}",6.458648379444794,6.482299025472645,5491.44522023201
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20, 'n_jobs': -1}",3.540049594061822,3.2633484258232226,1160.7678422927856
Maternal Health Risk.csv,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 120, 'n_jobs': -1}",8.497653308662251,8.081000972966827,450.0956001281738
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 10, 'n_jobs': -1}",4.687583734314376,4.313711521714594,652.157035112381
Parkinsons.csv,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'n_jobs': -1}",6.4962155958046965,6.187270665842094,390.5546317100525
Sepsis Survival Minimal Clinical Records.csv,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30, 'n_jobs': -1}",4.088435489226022,4.2128775135219305,5207.838222503662
