dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",5.487240045832253,5.3754848028187805,6.572763681411743
Breast Cancer Wisconsin (Diagnostic).csv,"{'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",6.492265236671055,6.585077672921095,1.9221901893615723
CDC Diabetes Health Indicators.csv,"{'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",4.495159246991246,4.460227130748147,99115.22258257866
Contraceptive Method Choice.csv,"{'n_neighbors': 27, 'p': 2, 'weights': 'uniform'}",5.260494416531349,5.575505549686585,3.9585328102111816
dados_preprocessados.csv,"{'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",19.736847982686104,19.763416632125242,3.799736499786377
Diabetic Retinopathy Debrecen.csv,"{'n_neighbors': 22, 'p': 2, 'weights': 'distance'}",4.889846437877395,4.661386734849913,2.217191696166992
EEG Eye State.csv,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",6.761071111760829,6.812570120563902,144.11423420906067
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'n_neighbors': 35, 'p': 1, 'weights': 'uniform'}",3.646393175368155,3.1675647162611953,2.8059020042419434
Maternal Health Risk.csv,"{'n_neighbors': 71, 'p': 2, 'weights': 'distance'}",8.210759657378707,7.897262317726653,3.0024352073669434
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'n_neighbors': 75, 'p': 1, 'weights': 'distance'}",4.5998588643785,4.379960108999955,6.062139987945557
Parkinsons.csv,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",5.9444298613847995,5.037545161605311,1.8381013870239258
Sepsis Survival Minimal Clinical Records.csv,"{'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",4.0678556324904775,4.0009133290153684,257.3352966308594
