dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'linear', 'clf__gamma': 'scale', 'clf__degree': 4, 'clf__coef0': 0.0, 'clf__class_weight': 'balanced', 'clf__C': 0.1}",5.767471101269857,5.783448014388057,3.7772891521453857
Breast Cancer Wisconsin (Diagnostic).csv,"{'clf__max_iter': 4000, 'clf__kernel': 'poly', 'clf__gamma': 0.001, 'clf__degree': 2, 'clf__coef0': 0.1, 'clf__class_weight': 'balanced', 'clf__C': 100}",6.825347511145747,6.795644997805014,0.693594217300415
CDC Diabetes Health Indicators.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'sigmoid', 'clf__gamma': 0.1, 'clf__degree': 5, 'clf__coef0': -0.5, 'clf__class_weight': 'balanced', 'clf__C': 1000}",4.526335198864234,4.521224607815038,4242.981536865234
Contraceptive Method Choice.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'rbf', 'clf__gamma': 0.01, 'clf__degree': 2, 'clf__coef0': -0.5, 'clf__class_weight': None, 'clf__C': 100}",5.298609037660791,5.280197404201208,2.8654613494873047
dados_preprocessados.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'linear', 'clf__gamma': 0.1, 'clf__degree': 4, 'clf__coef0': 1.0, 'clf__class_weight': 'balanced', 'clf__C': 10}",20.828355207865442,21.22578587485832,4.803545951843262
Diabetic Retinopathy Debrecen.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'rbf', 'clf__gamma': 0.01, 'clf__degree': 2, 'clf__coef0': -0.5, 'clf__class_weight': None, 'clf__C': 100}",5.148191447984809,5.300740041239225,1.6819367408752441
EEG Eye State.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'rbf', 'clf__gamma': 0.01, 'clf__degree': 2, 'clf__coef0': -0.5, 'clf__class_weight': None, 'clf__C': 100}",5.413487828219239,3.9967572924376134,128.29590272903442
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'poly', 'clf__gamma': 0.001, 'clf__degree': 2, 'clf__coef0': -1.0, 'clf__class_weight': None, 'clf__C': 1000}",3.4535069624237895,2.965776494993505,4.046119451522827
Maternal Health Risk.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'poly', 'clf__gamma': 1, 'clf__degree': 5, 'clf__coef0': 1.0, 'clf__class_weight': 'balanced', 'clf__C': 10}",7.102666619296391,6.745507566337999,1.456958293914795
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'poly', 'clf__gamma': 0.001, 'clf__degree': 2, 'clf__coef0': 0.1, 'clf__class_weight': 'balanced', 'clf__C': 100}",4.6356345799593655,4.494360246028931,3.3387913703918457
Parkinsons.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'poly', 'clf__gamma': 'auto', 'clf__degree': 2, 'clf__coef0': 1.0, 'clf__class_weight': None, 'clf__C': 100}",6.110062060643056,6.181931122344656,0.48844075202941895
Sepsis Survival Minimal Clinical Records.csv,"{'clf__max_iter': 4000, 'clf__kernel': 'sigmoid', 'clf__gamma': 1, 'clf__degree': 3, 'clf__coef0': 0.0, 'clf__class_weight': None, 'clf__C': 1000}",4.110759372073069,4.031441741014796,945.0295524597168
