dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'clf__C': 1000, 'clf__class_weight': None, 'clf__coef0': -1.0, 'clf__degree': 2, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'clf__max_iter': 5000, 'clf__tol': 0.0001}",5.894003373121689,5.938590643613411,1308.0898158550262
Breast Cancer Wisconsin (Diagnostic).csv,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__coef0': -1.0, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'sigmoid', 'clf__max_iter': 1000, 'clf__tol': 0.0001}",6.8428243048915744,6.741276384120642,236.73325634002686
Contraceptive Method Choice.csv,"{'clf__C': 100, 'clf__class_weight': None, 'clf__coef0': 0.5, 'clf__degree': 3, 'clf__gamma': 0.01, 'clf__kernel': 'poly', 'clf__max_iter': 1000, 'clf__tol': 0.0001}",5.342167373453199,5.1840244131519055,1029.4086015224457
dados_preprocessados.csv,"{'clf__C': 1000, 'clf__class_weight': None, 'clf__coef0': 1.0, 'clf__degree': 3, 'clf__gamma': 0.001, 'clf__kernel': 'poly', 'clf__max_iter': 5000, 'clf__tol': 0.0001}",21.07045025642904,21.062472291482834,1658.3114008903503
Diabetic Retinopathy Debrecen.csv,"{'clf__C': 1000, 'clf__class_weight': 'balanced', 'clf__coef0': 1.0, 'clf__degree': 5, 'clf__gamma': 0.001, 'clf__kernel': 'poly', 'clf__max_iter': 10000, 'clf__tol': 0.001}",5.260458621383609,5.283683305228385,630.7946639060974
EEG Eye State.csv,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__coef0': -1.0, 'clf__degree': 2, 'clf__gamma': 1, 'clf__kernel': 'rbf', 'clf__max_iter': 10000, 'clf__tol': 0.0001}",6.47861595839057,6.123964224544505,37686.632048368454
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'clf__C': 1, 'clf__class_weight': None, 'clf__coef0': -0.5, 'clf__degree': 4, 'clf__gamma': 0.01, 'clf__kernel': 'poly', 'clf__max_iter': 1000, 'clf__tol': 0.0001}",3.8227433393010926,3.0088522826718425,1506.7277281284332
Maternal Health Risk.csv,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__coef0': 0.5, 'clf__degree': 5, 'clf__gamma': 1, 'clf__kernel': 'poly', 'clf__max_iter': 5000, 'clf__tol': 0.0001}",7.249950271456855,6.852640704984324,606.2886583805084
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__coef0': 0.5, 'clf__degree': 2, 'clf__gamma': 0.1, 'clf__kernel': 'poly', 'clf__max_iter': 1000, 'clf__tol': 0.01}",4.687355204088259,2.5613531961407685,1362.769966840744
Parkinsons.csv,"{'clf__C': 1000, 'clf__class_weight': None, 'clf__coef0': 0.5, 'clf__degree': 2, 'clf__gamma': 0.01, 'clf__kernel': 'poly', 'clf__max_iter': 1000, 'clf__tol': 0.0001}",6.241777177457955,6.397541305811982,274.011355638504
