dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 2, 'splitter': 'best'}",5.515993006952119,5.307096782701466,4.799633979797363
Breast Cancer Wisconsin (Diagnostic).csv,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 2, 'splitter': 'best'}",6.56510097707083,6.532764997446812,2.3589234352111816
CDC Diabetes Health Indicators.csv,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'best'}",4.59497264025629,4.596230598774622,146.60665893554688
Contraceptive Method Choice.csv,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'best'}",5.144090401067817,5.083488592922663,2.3586084842681885
dados_preprocessados.csv,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",19.27460870909378,19.28515799371039,3.0163018703460693
Diabetic Retinopathy Debrecen.csv,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",4.569619571528155,4.401996883891873,2.6389389038085938
EEG Eye State.csv,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",5.683297487989188,5.751706309668034,8.453903198242188
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'class_weight': None, 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 15, 'splitter': 'random'}",3.6988398475028874,3.4135859831697863,2.8023393154144287
Maternal Health Risk.csv,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",8.354619793692972,8.096500640232845,2.060028314590454
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'best'}",4.546338025407527,4.431529578308057,2.4512453079223633
Parkinsons.csv,"{'class_weight': None, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",6.210890984218532,5.7264516811509285,1.9952919483184814
Sepsis Survival Minimal Clinical Records.csv,"{'class_weight': None, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'splitter': 'random'}",4.283923013236079,3.810113665129794,18.744887590408325
