dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 130, 'n_jobs': -1}",6.107320847926578,5.955531426044171,2564.6423246860504
Breast Cancer Wisconsin (Diagnostic).csv,"{'class_weight': None, 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'n_jobs': -1}",6.808444119084268,6.844860680463355,1790.7891273498535
Contraceptive Method Choice.csv,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 90, 'n_jobs': -1}",5.494008149420237,5.761099955627827,1654.3561651706696
dados_preprocessados.csv,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 120, 'n_jobs': -1}",21.19056664090373,21.086425514707056,2743.7883670330048
Diabetic Retinopathy Debrecen.csv,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 40, 'n_jobs': -1}",4.922588667080741,4.767021499950455,2621.316325902939
EEG Eye State.csv,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140, 'n_jobs': -1}",6.478893212741427,6.4749371226256525,17236.6490213871
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1}",3.5556131450642985,3.791571899101083,3669.5293781757355
Maternal Health Risk.csv,"{'class_weight': None, 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 120, 'n_jobs': -1}",8.497653308662251,8.081000972966827,1539.8087193965912
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 160, 'n_jobs': -1}",4.849673882141974,4.736581615771636,2141.0594885349274
Parkinsons.csv,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 170, 'n_jobs': -1}",6.512580534570328,5.958997020976317,1318.7377197742462
