dataset,best_params,test_score,execution_time
Maternal Health Risk.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestClassifier(criterion='entropy',
                                                                    max_features='log2',
                                                                    min_samples_leaf=4,
                                                                    n_estimators=130))),
                ('randomforestclassifier',
                 RandomForestClassifier(max_features=None, n_estimators=150))])",8.117563324795013,397.5321726799011
Parkinsons.csv,"Pipeline(steps=[('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced',
                                        criterion='entropy', min_samples_leaf=2,
                                        min_samples_split=5,
                                        n_estimators=20))])",5.992646952045449,209.83669996261597
Hepatitis C Virus (HCV) for Egyptian patients.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=DecisionTreeClassifier(criterion='entropy',
                                                                    max_features='log2',
                                                                    min_samples_split=20))),
                ('decisiontreeclassifier',
                 DecisionTreeClassifier(class_weight='balanced',
                                        criterion='entropy',
                                        max_features='log2',
                                        min_samples_leaf=16))])",3.7378992323823246,357.7466492652893
AIDS Clinical Trials Group Study 175.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=KNeighborsClassifier(n_neighbors=48))),
                ('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced',
                                        max_features=None, min_samples_leaf=2,
                                        n_estimators=190))])",6.018941962122511,473.94286370277405
Diabetic Retinopathy Debrecen.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=KNeighborsClassifier(n_neighbors=36))),
                ('svc',
                 SVC(C=0.01, class_weight='balanced', coef0=-0.5, gamma=0.001,
                     kernel='linear', max_iter=4000))])",5.168055886332383,829.5597169399261
Sepsis Survival Minimal Clinical Records.csv,"Pipeline(steps=[('kneighborsclassifier', KNeighborsClassifier(n_neighbors=56))])",3.810113665129794,3824.9009387493134
Breast Cancer Wisconsin (Diagnostic).csv,"Pipeline(steps=[('featureunion',
                 FeatureUnion(transformer_list=[('functiontransformer-1',
                                                 FunctionTransformer(func=<function copy at 0x7ccd13451a80>)),
                                                ('functiontransformer-2',
                                                 FunctionTransformer(func=<function copy at 0x7ccd13451a80>))])),
                ('randomforestclassifier',
                 RandomForestClassifier(criterion='entropy', n_estimators=60))])",6.793080587939608,408.56280064582825
Contraceptive Method Choice.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestClassifier(min_samples_leaf=8,
                                                                    min_samples_split=10,
                                                                    n_estimators=120))),
                ('svc',
                 SVC(C=0.01, coef0=-1.0, kernel='linear', max_iter=4000))])",5.736457389312191,310.9634208679199
dados_preprocessados.csv,"Pipeline(steps=[('featureunion',
                 FeatureUnion(transformer_list=[('featureunion',
                                                 FeatureUnion(transformer_list=[('functiontransformer-1',
                                                                                 FunctionTransformer(func=<function copy at 0x7ccd13451a80>)),
                                                                                ('functiontransformer-2',
                                                                                 FunctionTransformer(func=<function copy at 0x7ccd13451a80>))])),
                                                ('functiontransformer',
                                                 FunctionTransformer(func=<function copy at 0x7ccd13451a80>))])),
                ('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced_subsample',
                                        criterion='entropy', max_features=None,
                                        min_samples_leaf=2, min_samples_split=5,
                                        n_estimators=190))])",21.04664545909753,886.4989550113678
EEG Eye State.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestClassifier(class_weight='balanced_subsample',
                                                                    criterion='entropy',
                                                                    min_samples_leaf=8,
                                                                    min_samples_split=20,
                                                                    n_estimators=30))),
                ('kneighborsclassifier',
                 KNeighborsClassifier(n_neighbors=4, p=1, weights='distance'))])",6.788165904521455,7175.462144851685
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"Pipeline(steps=[('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced',
                                        criterion='entropy',
                                        max_features='log2',
                                        n_estimators=140))])",4.292159084103317,457.75723528862
