dataset,best_params,test_score,execution_time
Diabetic Retinopathy Debrecen.csv,"Pipeline(steps=[('stackingestimator-1',
                 StackingEstimator(estimator=SVC(C=0.01, coef0=0.5, gamma=0.001,
                                                 max_iter=4000))),
                ('stackingestimator-2',
                 StackingEstimator(estimator=SVC(C=0.01, degree=5, gamma=10,
                                                 kernel='linear',
                                                 max_iter=4000))),
                ('randomforestclassifier',
                 RandomForestClassifier(max_features='log2', min_samples_leaf=8,
                                        n_estimators=70))])",5.260624798427897,465.83497524261475
Contraceptive Method Choice.csv,"Pipeline(steps=[('randomforestclassifier',
                 RandomForestClassifier(max_features='log2',
                                        min_samples_leaf=16,
                                        min_samples_split=10,
                                        n_estimators=40))])",5.55973453527827,311.266797542572
Maternal Health Risk.csv,"Pipeline(steps=[('randomforestclassifier',
                 RandomForestClassifier(max_features='log2', n_estimators=80))])",8.060264524217843,320.8378429412842
dados_preprocessados.csv,"Pipeline(steps=[('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced',
                                        criterion='entropy', max_features=None,
                                        min_samples_leaf=2,
                                        n_estimators=180))])",21.020920911344056,1043.64004945755
AIDS Clinical Trials Group Study 175.csv,"Pipeline(steps=[('featureunion',
                 FeatureUnion(transformer_list=[('functiontransformer-1',
                                                 FunctionTransformer(func=<function copy at 0x7de333af1a80>)),
                                                ('functiontransformer-2',
                                                 FunctionTransformer(func=<function copy at 0x7de333af1a80>))])),
                ('randomforestclassifier',
                 RandomForestClassifier(min_samples_leaf=4, n_estimators=120))])",5.85948083229979,586.5857770442963
Parkinsons.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestClassifier(class_weight='balanced_subsample',
                                                                    criterion='entropy',
                                                                    min_samples_split=5,
                                                                    n_estimators=80))),
                ('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced_subsample',
                                        max_features='log2',
                                        min_samples_split=5,
                                        n_estimators=20))])",6.181931122344656,273.89536452293396
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"Pipeline(steps=[('stackingestimator-1',
                 StackingEstimator(estimator=DecisionTreeClassifier(criterion='entropy',
                                                                    max_features='sqrt',
                                                                    min_samples_split=20))),
                ('stackingestimator-2',
                 StackingEstimator(estimator=RandomForestClassifier(max_features='log2',
                                                                    min_samples_leaf=4,
                                                                    min_samples_split=20,
                                                                    n_estimators=140))),
                ('kneighborsclassifier',
                 KNeighborsClassifier(n_neighbors=95, p=1,
                                      weights='distance'))])",4.270304137480395,335.14633440971375
Breast Cancer Wisconsin (Diagnostic).csv,"Pipeline(steps=[('stackingestimator-1',
                 StackingEstimator(estimator=SVC(C=10, class_weight='balanced',
                                                 coef0=-1.0, degree=5, gamma=1,
                                                 kernel='sigmoid',
                                                 max_iter=4000))),
                ('stackingestimator-2',
                 StackingEstimator(estimator=DecisionTreeClassifier(class_weight='balanced',
                                                                    max_features='log2',
                                                                    min_samples_leaf=4,
                                                                    min_samples_split=20,
                                                                    splitter='random'))),
                ('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced',
                                        criterion='entropy', max_features=None,
                                        min_samples_leaf=2,
                                        min_samples_split=10,
                                        n_estimators=110))])",6.741395474886578,418.5431056022644
Hepatitis C Virus (HCV) for Egyptian patients.csv,"Pipeline(steps=[('featureunion',
                 FeatureUnion(transformer_list=[('functiontransformer-1',
                                                 FunctionTransformer(func=<function copy at 0x7de333af1a80>)),
                                                ('functiontransformer-2',
                                                 FunctionTransformer(func=<function copy at 0x7de333af1a80>))])),
                ('decisiontreeclassifier',
                 DecisionTreeClassifier(class_weight='balanced',
                                        max_features='sqrt',
                                        min_samples_leaf=16,
                                        min_samples_split=10,
                                        splitter='random'))])",3.3584837124825166,417.7753789424896
EEG Eye State.csv,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=SVC(C=10, class_weight='balanced',
                                                 coef0=1.0, degree=4,
                                                 gamma=0.001, max_iter=4000))),
                ('randomforestclassifier',
                 RandomForestClassifier(class_weight='balanced',
                                        criterion='entropy', min_samples_leaf=4,
                                        n_estimators=110))])",6.855613348113942,6895.317301750183
Sepsis Survival Minimal Clinical Records.csv,"Pipeline(steps=[('decisiontreeclassifier',
                 DecisionTreeClassifier(criterion='entropy',
                                        max_features='log2', min_samples_leaf=4,
                                        splitter='random'))])",4.311545850525985,12706.085614204407
