dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'clf__C': 1, 'clf__class_weight': None, 'clf__coef0': 1.0, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'poly', 'clf__max_iter': 4000}",5.883794805980051,5.839531181148473,162.67341446876526
Breast Cancer Wisconsin (Diagnostic).csv,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__coef0': -1.0, 'clf__degree': 2, 'clf__gamma': 'scale', 'clf__kernel': 'sigmoid', 'clf__max_iter': 4000}",6.8428243048915744,6.741276384120642,31.70927143096924
Contraceptive Method Choice.csv,"{'clf__C': 100, 'clf__class_weight': None, 'clf__coef0': 0.5, 'clf__degree': 4, 'clf__gamma': 0.01, 'clf__kernel': 'poly', 'clf__max_iter': 4000}",5.334390683016341,5.256960544722344,132.12618494033813
dados_preprocessados.csv,"{'clf__C': 1000, 'clf__class_weight': None, 'clf__coef0': 1.0, 'clf__degree': 3, 'clf__gamma': 0.001, 'clf__kernel': 'poly', 'clf__max_iter': 4000}",21.07045025642904,21.062472291482834,235.93935680389404
Diabetic Retinopathy Debrecen.csv,"{'clf__C': 1000, 'clf__class_weight': 'balanced', 'clf__coef0': 1.0, 'clf__degree': 4, 'clf__gamma': 0.001, 'clf__kernel': 'poly', 'clf__max_iter': 4000}",5.242343583326058,5.283683305228385,84.5637137889862
EEG Eye State.csv,"{'clf__C': 10, 'clf__class_weight': None, 'clf__coef0': -1.0, 'clf__degree': 2, 'clf__gamma': 1, 'clf__kernel': 'rbf', 'clf__max_iter': 4000}",6.476891362193774,6.121901547327095,4951.467954874039
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'clf__C': 1, 'clf__class_weight': None, 'clf__coef0': -0.5, 'clf__degree': 4, 'clf__gamma': 0.01, 'clf__kernel': 'poly', 'clf__max_iter': 4000}",3.8227433393010926,3.0088522826718425,170.27463936805725
Maternal Health Risk.csv,"{'clf__C': 1000, 'clf__class_weight': 'balanced', 'clf__coef0': -1.0, 'clf__degree': 2, 'clf__gamma': 1, 'clf__kernel': 'rbf', 'clf__max_iter': 4000}",7.231306297130237,7.76316697503222,67.9904420375824
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__coef0': -1.0, 'clf__degree': 2, 'clf__gamma': 0.1, 'clf__kernel': 'sigmoid', 'clf__max_iter': 4000}",4.685996487673512,4.48652301452729,146.1640202999115
Parkinsons.csv,"{'clf__C': 1000, 'clf__class_weight': None, 'clf__coef0': 0.5, 'clf__degree': 2, 'clf__gamma': 0.01, 'clf__kernel': 'poly', 'clf__max_iter': 4000}",6.241777177457955,6.397541305811982,25.32774829864502
