dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'criterion': 'entropy', 'class_weight': None}",5.515993006952119,5.307096782701466,0.7916364669799805
Breast Cancer Wisconsin (Diagnostic).csv,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': None}",6.528744769637538,6.537029186377759,0.6836791038513184
CDC Diabetes Health Indicators.csv,"{'splitter': 'best', 'min_samples_split': 15, 'min_samples_leaf': 16, 'max_features': 'log2', 'criterion': 'entropy', 'class_weight': 'balanced'}",4.59497264025629,4.596230598774622,29.95952320098877
Contraceptive Method Choice.csv,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'criterion': 'entropy', 'class_weight': None}",4.91128703185405,4.841681046197942,0.5963220596313477
dados_preprocessados.csv,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced'}",18.933861561790145,17.87964367148581,0.844433069229126
Diabetic Retinopathy Debrecen.csv,"{'splitter': 'best', 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced'}",4.478033743440876,4.330212861267725,0.7393536567687988
EEG Eye State.csv,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': None}",5.628025875278039,5.662263958255863,2.6968090534210205
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'splitter': 'random', 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': None}",3.6988398475028874,3.4135859831697863,0.8616704940795898
Maternal Health Risk.csv,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': None}",8.315933048081964,8.068144319236657,0.5758905410766602
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'splitter': 'best', 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': None}",4.457161865368964,4.49573878290555,0.7711949348449707
Parkinsons.csv,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': None}",6.210890984218532,5.7264516811509285,0.6103763580322266
Sepsis Survival Minimal Clinical Records.csv,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': None}",4.183922742345366,4.061349407024081,4.484182119369507
