dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'n_jobs': -1, 'n_estimators': 140, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': None, 'criterion': 'entropy', 'class_weight': 'balanced'}",6.0926275180900635,5.978609986402123,33.94800019264221
Breast Cancer Wisconsin (Diagnostic).csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",6.70408658391587,6.84583118934064,30.148056745529175
CDC Diabetes Health Indicators.csv,"{'n_jobs': -1, 'n_estimators': 180, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",4.886563098430757,4.894004560385185,1277.4766836166382
Contraceptive Method Choice.csv,"{'n_jobs': -1, 'n_estimators': 130, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",5.42981259039521,5.738801953595128,31.836756229400635
dados_preprocessados.csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",20.96076210841152,20.568270812109915,36.296892166137695
Diabetic Retinopathy Debrecen.csv,"{'n_jobs': -1, 'n_estimators': 180, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",4.870927846459183,4.929256754895695,34.97486925125122
EEG Eye State.csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",6.441439726083151,6.446229575959844,120.21216416358948
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'n_jobs': -1, 'n_estimators': 190, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': None}",3.1064599881003545,3.403963122198894,39.97453713417053
Maternal Health Risk.csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",8.2449329491097,7.926390913764627,31.9846453666687
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'n_jobs': -1, 'n_estimators': 180, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",4.832639782281248,4.788041179730717,34.080846071243286
Parkinsons.csv,"{'n_jobs': -1, 'n_estimators': 130, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'criterion': 'entropy', 'class_weight': 'balanced_subsample'}",6.408863865277763,6.397008085383082,28.943803787231445
Sepsis Survival Minimal Clinical Records.csv,"{'n_jobs': -1, 'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': None, 'criterion': 'entropy', 'class_weight': None}",3.9167953771885187,3.810113665129794,126.67432284355164
