dataset,best_params,train_score,test_score,execution_time
AIDS Clinical Trials Group Study 175.csv,"{'n_jobs': -1, 'n_estimators': 140, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': None, 'criterion': 'entropy', 'class_weight': 'balanced'}",6.0926275180900635,5.978609986402123,16.238059043884277
Breast Cancer Wisconsin (Diagnostic).csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",6.70408658391587,6.84583118934064,10.476935863494873
CDC Diabetes Health Indicators.csv,"{'n_jobs': -1, 'n_estimators': 180, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",4.886563098430757,4.894004560385185,1126.426506280899
Contraceptive Method Choice.csv,"{'n_jobs': -1, 'n_estimators': 130, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",5.42981259039521,5.738801953595128,9.147643089294434
dados_preprocessados.csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",20.96076210841152,20.568270812109915,16.02980065345764
Diabetic Retinopathy Debrecen.csv,"{'n_jobs': -1, 'n_estimators': 180, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",4.870927846459183,4.929256754895695,15.347793817520142
EEG Eye State.csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",6.441439726083151,6.446229575959844,97.93432307243347
Hepatitis C Virus (HCV) for Egyptian patients.csv,"{'n_jobs': -1, 'n_estimators': 190, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': None}",3.1064599881003545,3.403963122198894,21.28715181350708
Maternal Health Risk.csv,"{'n_jobs': -1, 'n_estimators': 160, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",8.2449329491097,7.926390913764627,8.352368116378784
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.csv,"{'n_jobs': -1, 'n_estimators': 180, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'criterion': 'gini', 'class_weight': 'balanced_subsample'}",4.832639782281248,4.788041179730717,11.937625885009766
Parkinsons.csv,"{'n_jobs': -1, 'n_estimators': 130, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'criterion': 'entropy', 'class_weight': 'balanced_subsample'}",6.408863865277763,6.397008085383082,7.2861082553863525
Sepsis Survival Minimal Clinical Records.csv,"{'n_jobs': -1, 'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': None, 'criterion': 'entropy', 'class_weight': None}",3.9167953771885187,3.810113665129794,92.06778454780579
